thresholds,fpr,tpr,fnr
1.0,0.0,0.0,1.0
0.8846255762312012,4.045307443365696e-05,0.03468945287590863,0.9653105471240914
0.8820222885743682,4.045307443365696e-05,0.03864303022573656,0.9613569697742634
0.8793647063322632,8.090614886731392e-05,0.0728223440887642,0.9271776559112358
0.8596849520697756,8.090614886731392e-05,0.08136717255452108,0.9186328274454789
0.8396191676407467,8.090614886731392e-05,0.08442800663180716,0.9155719933681928
0.8306167343451183,8.090614886731392e-05,0.08493814564468816,0.9150618543553118
0.8205113907565169,0.00012135922330097087,0.08493814564468816,0.9150618543553118
0.8161054808927223,0.00012135922330097087,0.08825404922841473,0.9117459507715853
0.8140734878586813,0.00012135922330097087,0.08850911873485523,0.9114908812651448
0.8108097576898932,0.00012135922330097087,0.09054967478637932,0.9094503252136207
0.807479692584823,0.00012135922330097087,0.09067720953959957,0.9093227904604004
0.8049267133789394,0.00012135922330097087,0.09080474429281982,0.9091952557071802
0.8015599332734957,0.00024271844660194174,0.10508863665348811,0.8949113633465119
0.7994053375401488,0.00024271844660194174,0.10534370615992861,0.8946562938400714
0.7893961868846453,0.00024271844660194174,0.11299579135314375,0.8870042086468563
0.7777786694121738,0.00032362459546925567,0.1268970794541513,0.8731029205458487
0.7738892966698807,0.00032362459546925567,0.1344216298941462,0.8655783701058538
0.7716275838748267,0.00032362459546925567,0.13505930366024743,0.8649406963397526
0.7695401307418401,0.00032362459546925567,0.13518683841346768,0.8648131615865323
0.7678544857011117,0.00036407766990291263,0.13697232495855116,0.8630276750414488
0.7654312665576117,0.00036407766990291263,0.1370998597117714,0.8629001402882286
0.7612414136529067,0.00036407766990291263,0.13773753347787276,0.8622624665221272
0.7582497958953045,0.00036407766990291263,0.13875781150363475,0.8612421884963652
0.7512213264460199,0.00036407766990291263,0.13901288101007525,0.8609871189899247
0.7403239755750809,0.00036407766990291263,0.14156357607448034,0.8584364239255197
0.7223821791503918,0.0004045307443365696,0.14156357607448034,0.8584364239255197
0.7041041954947638,0.0004045307443365696,0.15304170386430305,0.846958296135697
0.6980624724411844,0.0004045307443365696,0.15380691238362454,0.8461930876163755
0.6920878943892153,0.0004045307443365696,0.16528504017344725,0.8347149598265527
0.6868442998021197,0.0004045307443365696,0.16554010967988775,0.8344598903201123
0.6856380195179013,0.0004045307443365696,0.1659227139395485,0.8340772860604515
0.6842304914442705,0.0005258899676375405,0.1659227139395485,0.8340772860604515
0.6766916959898542,0.0005258899676375405,0.16605024869276874,0.8339497513072313
0.6620401213043632,0.0005258899676375405,0.1666879224588701,0.8333120775411299
0.6509697926664679,0.0005258899676375405,0.16821833949751308,0.8317816605024869
0.6450196760569193,0.0008090614886731392,0.16821833949751308,0.8317816605024869
0.6400110807464701,0.0008090614886731392,0.16860094375717383,0.8313990562428262
0.6358481962854194,0.0008899676375404531,0.16923861752327507,0.8307613824767249
0.6305510796810072,0.0008899676375404531,0.1708965693151384,0.8291034306848616
0.6252931116102097,0.0008899676375404531,0.17127917357479916,0.8287208264252008
0.623313207078891,0.0008899676375404531,0.1719168473409004,0.8280831526590996
0.6221947850043459,0.0008899676375404531,0.17204438209412065,0.8279556179058793
0.6209473302364419,0.001051779935275081,0.17625302895038897,0.823746971049611
0.6179687451933638,0.0015776699029126213,0.17625302895038897,0.823746971049611
0.6128406728074189,0.0016585760517799353,0.17625302895038897,0.823746971049611
0.6100438355283715,0.0016585760517799353,0.17638056370360922,0.8236194362963908
0.6094855515005753,0.0017799352750809063,0.1774008417293712,0.8225991582706288
0.6073488941649622,0.0020226537216828477,0.18352250988394336,0.8164774901160566
0.6049782875998071,0.0020226537216828477,0.18377757939038386,0.8162224206096161
0.6033199408419027,0.002103559870550162,0.18454278790970535,0.8154572120902946
0.5998023391530363,0.01529126213592233,0.31666879224588695,0.683331207754113
0.5958002434964578,0.01529126213592233,0.3167963269991072,0.6832036730008928
0.5934060305975679,0.01529126213592233,0.3188368830506313,0.6811631169493687
0.585943848835732,0.01529126213592233,0.31896441780385154,0.6810355821961485
0.5777811783624305,0.01557443365695793,0.31896441780385154,0.6810355821961485
0.5693111919307919,0.0156957928802589,0.31896441780385154,0.6810355821961485
0.5622118661577532,0.0505663430420712,0.508098456829486,0.49190154317051404
0.5612244546231426,0.05088996763754045,0.508098456829486,0.49190154317051404
0.5521235498546699,0.05088996763754045,0.5123071036857544,0.4876928963142456
0.5277624517285463,0.05088996763754045,0.5133273817115164,0.4866726182884836
0.5079271649044497,0.05093042071197411,0.5133273817115164,0.4866726182884836
0.5032190863362445,0.050970873786407765,0.5133273817115164,0.4866726182884836
0.4969435471594268,0.05101132686084142,0.5133273817115164,0.4866726182884836
0.49084424658111236,0.051092233009708735,0.5133273817115164,0.4866726182884836
0.4891030381784497,0.051092233009708735,0.5137099859711771,0.4862900140288229
0.48216892032156083,0.05121359223300971,0.5137099859711771,0.4862900140288229
0.4753419660567009,0.05125404530744337,0.5137099859711771,0.4862900140288229
0.46768586188038397,0.05141585760517799,0.5137099859711771,0.4862900140288229
0.4598630309677849,0.051699029126213596,0.5137099859711771,0.4862900140288229
0.4573965907221683,0.05173948220064725,0.5137099859711771,0.4862900140288229
0.4559529603669824,0.05186084142394822,0.5137099859711771,0.4862900140288229
0.4530659452467043,0.05190129449838188,0.5137099859711771,0.4862900140288229
0.4494063577612417,0.05210355987055016,0.5137099859711771,0.4862900140288229
0.44500480068866777,0.05214401294498382,0.5137099859711771,0.4862900140288229
0.43937519056845054,0.06140776699029126,0.5375589848233644,0.4624410151766356
0.4369845434626153,0.06144822006472492,0.5375589848233644,0.4624410151766356
0.4360209268286995,0.061488673139158574,0.5387067976023466,0.46129320239765337
0.4262812149288673,0.06152912621359223,0.5387067976023466,0.46129320239765337
0.4115926183251572,0.06205501618122977,0.5387067976023466,0.46129320239765337
0.40493258084946504,0.06217637540453074,0.5387067976023466,0.46129320239765337
0.4016826068724537,0.062338187702265374,0.5398546103813289,0.46014538961867113
0.3962513541554119,0.06241909385113269,0.5398546103813289,0.46014538961867113
0.3912194526890043,0.06254045307443366,0.5398546103813289,0.46014538961867113
0.38665963440126205,0.07694174757281554,0.5726310419589338,0.4273689580410662
0.38223373477247746,0.07807443365695793,0.5726310419589338,0.4273689580410662
0.3800994063833397,0.07811488673139158,0.5726310419589338,0.4273689580410662
0.3777634426059525,0.07823624595469256,0.5728861114653743,0.42711388853462573
0.37484251373443955,0.07831715210355987,0.5728861114653743,0.42711388853462573
0.3724644951055497,0.07872168284789643,0.5728861114653743,0.42711388853462573
0.3694993800361519,0.0790453074433657,0.5754368065297794,0.42456319347022065
0.3661164241964945,0.07916666666666666,0.5754368065297794,0.42456319347022065
0.3624747579583002,0.07924757281553398,0.5754368065297794,0.42456319347022065
0.35924738496137953,0.07928802588996764,0.5754368065297794,0.42456319347022065
0.35653643678845703,0.1414644012944984,0.7047570462951154,0.2952429537048846
0.3508383606877055,0.14166666666666666,0.7051396505547762,0.29486034944522377
0.34422055949595615,0.1417071197411003,0.7051396505547762,0.29486034944522377
0.33740195499119696,0.14235436893203884,0.7051396505547762,0.29486034944522377
0.3299858468953981,0.14255663430420712,0.7051396505547762,0.29486034944522377
0.32698037487425957,0.14259708737864077,0.7051396505547762,0.29486034944522377
0.32670155191643785,0.14271844660194175,0.7051396505547762,0.29486034944522377
0.32570068295159255,0.21009400215673305,0.789905997843267,0.21009400215673302
0.32477255546151507,0.2725728155339806,0.8685116694299196,0.13148833057008036
0.32036151488882003,0.2726132686084142,0.8685116694299196,0.13148833057008036
0.3173179261412632,0.2728155339805825,0.8685116694299196,0.13148833057008036
0.3165023983374494,0.2764967637540453,0.8713174340007652,0.12868256599923478
0.31471770912390795,0.276537216828479,0.8713174340007652,0.12868256599923478
0.31251576886803956,0.276537216828479,0.8714449687539855,0.12855503124601453
0.30826252948557853,0.3300970873786408,0.8891722994516006,0.11082770054839941
0.30306406807612984,0.3301779935275081,0.8891722994516006,0.11082770054839941
0.2874173171247856,0.3302184466019418,0.8891722994516006,0.11082770054839941
0.2672966101739478,0.33038025889967637,0.8891722994516006,0.11082770054839941
0.25936396792102334,0.33046116504854367,0.8905751817370233,0.10942481826297668
0.25356638497711637,0.33046116504854367,0.8907027164902436,0.10929728350975643
0.2437179577275808,0.3307847896440129,0.8907027164902436,0.10929728350975643
0.2362616922746086,0.33098705501618125,0.8917229945160057,0.10827700548399433
0.2308210765721553,0.33098705501618125,0.8918505292692258,0.10814947073077419
0.21934643680566318,0.3313106796116505,0.8918505292692258,0.10814947073077419
0.20845701874780692,0.358373786407767,0.9204183139905624,0.0795816860094376
0.20440967659107073,0.35841423948220064,0.9204183139905624,0.0795816860094376
0.19402215104977033,0.3585760517799353,0.9204183139905624,0.0795816860094376
0.18324373910971947,0.4481391585760518,0.9543425583471496,0.04565744165285035
0.17241248847019255,0.4481796116504854,0.9544700931003699,0.0455299068996301
0.1579971042320684,0.4482200647249191,0.9545976278535901,0.04540237214640985
0.1529009935548119,0.4483414239482201,0.9545976278535901,0.04540237214640985
0.1514975244343795,0.4483818770226537,0.9545976278535901,0.04540237214640985
0.1470359720256088,0.4484223300970874,0.9551077668664711,0.04489223313352886
0.14252541661481988,0.4486650485436893,0.9557454406325724,0.044254559367427615
0.14131168299320807,0.44919093851132685,0.9558729753857926,0.044127024614207366
0.14067538138080457,0.44923139158576053,0.9558729753857926,0.044127024614207366
0.1387812336604813,0.44923139158576053,0.9560005101390129,0.04399948986098712
0.13674517288841115,0.47212783171521033,0.95957148322918,0.040428516770820044
0.13551091640564694,0.472168284789644,0.95957148322918,0.040428516770820044
0.13422850348078852,0.4728559870550162,0.95957148322918,0.040428516770820044
0.13307675280110598,0.4729368932038835,0.95957148322918,0.040428516770820044
0.1290100403959403,0.4730177993527508,0.95957148322918,0.040428516770820044
0.12379441176457114,0.4732200647249191,0.95957148322918,0.040428516770820044
0.12093466607860262,0.4993527508090615,0.9637801300854483,0.03621986991455173
0.11888221514181804,0.49967637540453075,0.9637801300854483,0.03621986991455173
0.11534721438983703,0.4997168284789644,0.9637801300854483,0.03621986991455173
0.10991648608375773,0.6737864077669903,0.9809973217701824,0.019002678229817604
0.1066687803483114,0.8963592233009708,0.9956638183905114,0.004336181609488565
0.10572453591740544,0.9086569579288026,0.9960464226501722,0.003953577349827819
0.0,1.0,1.0,0.0
